Date,Time,Latitude,Longitude,Altitude (m),Speed (m/s),Altitude Change,Phase
2022-10-02,07:07:42,-44.02958537258878,-82.7526678466042,10309.459481037924,236.0123852210483,0.4055888223556394,1
2022-10-02,07:07:47,-44.03751393874645,-82.76449102650574,10309.86506986028,236.0156338640543,0.4055888223556394,1
2022-10-02,07:07:52,-44.0454419079382,-82.77631720258908,10310.270658682635,236.0189216193492,0.4055888223556394,1
2022-10-02,07:07:57,-44.053369277372106,-82.78814637541107,10310.676247504987,236.022248415078,0.4055888223520014,1
2022-10-02,07:08:02,-44.06129604425629,-82.79997854552856,10311.081836327345,236.02561417938577,0.4055888223574584,1
2022-10-02,07:08:07,-44.06922220579882,-82.8118137134984,10311.4874251497,236.0290188404175,0.4055888223556394,1
2022-10-02,07:08:12,-44.07714775920781,-82.82365187987746,10311.893013972056,236.03246232631827,0.4055888223556394,1
2022-10-02,07:08:17,-44.085072701691345,-82.83549304522256,10312.298602794412,236.03594456523305,0.4055888223556394,1
2022-10-02,07:08:22,-44.09299703045753,-82.84733721009059,10312.704191616764,236.0394654853069,0.4055888223520014,1
2022-10-02,07:08:27,-44.100920742714464,-82.85918437503835,10313.10978043912,236.04302501468484,0.4055888223556394,1
2022-10-02,07:08:32,-44.108843835670235,-82.8710345406227,10313.515369261477,236.0466230815119,0.4055888223574584,1
2022-10-02,07:08:37,-44.116766306532945,-82.88288770740053,10313.920958083832,236.0502596139332,0.4055888223556394,1
2022-10-02,07:08:42,-44.12468815251069,-82.89474387592868,10314.326546906188,236.05393454009368,0.4055888223556394,1
2022-10-02,07:08:47,-44.13260937081156,-82.90660304676398,10314.732135728542,236.0576477881384,0.4055888223538204,1
2022-10-02,07:08:52,-44.14052995864367,-82.91846522046329,10315.137724550896,236.0613992862124,0.4055888223538204,1
2022-10-02,07:08:57,-44.148449913215096,-82.93033039758345,10315.543313373251,236.06518896246067,0.4055888223556394,1
2022-10-02,07:09:02,-44.15636923173395,-82.9421985786813,10315.948902195609,236.06901674502825,0.4055888223574584,1
2022-10-02,07:09:07,-44.16428791140831,-82.95406976431373,10316.354491017964,236.07288256206024,0.4055888223556394,1
2022-10-02,07:09:12,-44.17220594944629,-82.96594395503759,10316.760079840318,236.07678634170165,0.4055888223538204,1
2022-10-02,07:09:17,-44.180123343055975,-82.97782115140969,10317.165668662674,236.08072801209747,0.4055888223556394,1
2022-10-02,07:09:22,-44.18804008944547,-82.9897013539869,10317.57125748503,236.08470750139273,0.4055888223556394,1
2022-10-02,07:09:27,-44.19595618582287,-83.00158456332608,10317.976846307383,236.0887247377325,0.4055888223538204,1
2022-10-02,07:09:32,-44.20387162939627,-83.01347077998406,10318.38243512974,236.0927796492618,0.4055888223574584,1
2022-10-02,07:09:37,-44.211786417373766,-83.02536000451772,10318.788023952096,236.09687216412567,0.4055888223556394,1
2022-10-02,07:09:42,-44.21970054696346,-83.03725223748388,10319.19361277445,236.10100221046915,0.4055888223538204,1
2022-10-02,07:09:47,-44.22761401537343,-83.04914747943941,10319.599201596806,236.10516971643725,0.4055888223556394,1
2022-10-02,07:09:52,-44.2355268198118,-83.06104573094117,10320.004790419162,236.10937461017505,0.4055888223556394,1
2022-10-02,07:09:57,-44.24343895748665,-83.072946992546,10320.410379241515,236.11361681982743,0.4055888223538204,1
2022-10-02,07:10:02,-44.25135042560609,-83.0848512648107,10320.815968063873,236.1178962735396,0.4055888223574584,1
2022-10-02,07:10:07,-44.25926122137819,-83.09675854829219,10321.221556886228,236.1222128994565,0.4055888223556394,1
2022-10-02,07:10:12,-44.26717134201107,-83.1086688435473,10321.627145708582,236.12656662572329,0.4055888223538204,1
2022-10-02,07:10:17,-44.27508078471283,-83.1205821511329,10322.032734530938,236.1309573804848,0.4055888223556394,1
2022-10-02,07:10:22,-44.28298954669155,-83.13249847160579,10322.438323353294,236.13538509188623,0.4055888223556394,1
2022-10-02,07:10:27,-44.29089762515533,-83.14441780552285,10322.84391217565,236.1398496880725,0.4055888223556394,1
2022-10-02,07:10:32,-44.29880501731226,-83.15634015344094,10323.249500998005,236.1443510971887,0.4055888223556394,1
2022-10-02,07:10:37,-44.30671172037046,-83.16826551591689,10323.65508982036,236.14888924737988,0.4055888223556394,1
2022-10-02,07:10:42,-44.314617731538014,-83.18019389350756,10324.060678642714,236.15346406679103,0.4055888223538204,1
2022-10-02,07:10:47,-44.322523048023015,-83.19212528676981,10324.46626746507,236.1580754835672,0.4055888223556394,1
2022-10-02,07:10:52,-44.330427667033554,-83.20405969626047,10324.871856287426,236.1627234258534,0.4055888223556394,1
2022-10-02,07:10:57,-44.338331585777745,-83.21599712253641,10325.27744510978,236.1674078217947,0.4055888223538204,1
2022-10-02,07:11:02,-44.346234801463666,-83.22793756615447,10325.683033932137,236.17212859953617,0.4055888223574584,1
2022-10-02,07:11:07,-44.35413731129944,-83.2398810276715,10326.08862275449,236.17688568722272,0.4055888223538204,1
2022-10-02,07:11:12,-44.36203911249312,-83.25182750764436,10326.494211576846,236.18167901299947,0.4055888223556394,1
2022-10-02,07:11:17,-44.369940202252856,-83.2637770066299,10326.899800399202,236.18650850501143,0.4055888223556394,1
2022-10-02,07:11:22,-44.3778405777867,-83.27572952518494,10327.305389221558,236.19137409140365,0.4055888223556394,1
2022-10-02,07:11:27,-44.38574023630277,-83.28768506386636,10327.710978043911,236.1962757003211,0.4055888223538204,1
2022-10-02,07:11:32,-44.39363917500917,-83.29964362323103,10328.116566866269,236.20121325990897,0.4055888223574584,1
2022-10-02,07:11:37,-44.401537391113976,-83.31160520383577,10328.522155688624,236.20618669831217,0.4055888223556394,1
2022-10-02,07:11:42,-44.4094348818253,-83.32356980623742,10328.927744510978,236.21119594367568,0.4055888223538204,1
2022-10-02,07:11:47,-44.41733164435123,-83.33553743099286,10329.333333333334,236.2162409241446,0.4055888223556394,1
2022-10-02,07:11:52,-44.42522767589986,-83.34750807865892,10329.738922155688,236.22132156786395,0.4055888223538204,1
2022-10-02,07:11:57,-44.433122973679296,-83.35948174979245,10330.144510978043,236.22643780297884,0.4055888223556394,1
2022-10-02,07:12:02,-44.44101753489763,-83.37145844495032,10330.5500998004,236.2315895576342,0.4055888223574584,1
2022-10-02,07:12:07,-44.44891135676296,-83.38343816468938,10330.955688622756,236.23677675997513,0.4055888223556394,1
2022-10-02,07:12:12,-44.45680443648338,-83.39542090956647,10331.36127744511,236.2419993381466,0.4055888223538204,1
2022-10-02,07:12:17,-44.46469677126699,-83.40740668013842,10331.766866267464,236.2472572202937,0.4055888223538204,1
2022-10-02,07:12:22,-44.472588358321886,-83.41939547696212,10332.17245508982,236.25255033456145,0.4055888223556394,1
2022-10-02,07:12:27,-44.480479194856166,-83.43138730059438,10332.578043912175,236.25787860909483,0.4055888223556394,1
2022-10-02,07:12:32,-44.48836927807791,-83.44338215159209,10332.983632734533,236.2632419720389,0.4055888223574584,1
2022-10-02,07:12:37,-44.49625860519525,-83.45538003051207,10333.389221556889,236.26864035153875,0.4055888223556394,1
2022-10-02,07:12:42,-44.50414717341625,-83.4673809379112,10333.79481037924,236.27407367573937,0.4055888223520014,1
2022-10-02,07:12:47,-44.51203497994902,-83.47938487434631,10334.200399201596,236.2795418727858,0.4055888223556394,1
2022-10-02,07:12:52,-44.51992202200165,-83.49139184037423,10334.605988023952,236.285044870823,0.4055888223556394,1
2022-10-02,07:12:57,-44.527808296782254,-83.50340183655186,10335.011576846307,236.29058259799612,0.4055888223556394,1
2022-10-02,07:13:02,-44.5356938014989,-83.515414863436,10335.417165668665,236.29615498245013,0.4055888223574584,1
2022-10-02,07:13:07,-44.543578533359714,-83.52743092158356,10335.822754491017,236.30176195233008,0.4055888223520014,1
2022-10-02,07:13:12,-44.55146248957277,-83.53945001155134,10336.228343313373,236.307403435781,0.4055888223556394,1
2022-10-02,07:13:17,-44.559345667346186,-83.55147213389621,10336.633932135728,236.31307936094785,0.4055888223556394,1
2022-10-02,07:13:22,-44.56722806388803,-83.56349728917502,10337.039520958084,236.3187896559758,0.4055888223556394,1
2022-10-02,07:13:27,-44.575109676406434,-83.5755254779446,10337.44510978044,236.3245342490098,0.4055888223556394,1
2022-10-02,07:13:32,-44.58299050210946,-83.58755670076184,10337.850698602791,236.33031306819487,0.4055888223520014,1
2022-10-02,07:13:37,-44.590870538205216,-83.59959095818355,10338.256287425147,236.33612604167612,0.4055888223556394,1
2022-10-02,07:13:42,-44.598749781901816,-83.61162825076661,10338.661876247505,236.34197309759847,0.4055888223574584,1
2022-10-02,07:13:47,-44.60662823040734,-83.62366857906785,10339.06746506986,236.34785416410705,0.4055888223556394,1
2022-10-02,07:13:52,-44.61450588092989,-83.63571194364417,10339.473053892216,236.3537691693468,0.4055888223556394,1
2022-10-02,07:13:57,-44.62238273067755,-83.64775834505232,10339.878642714571,236.35971804146288,0.4055888223556394,1
2022-10-02,07:14:02,-44.63025877685844,-83.65980778384926,10340.284231536923,236.36570070860023,0.4055888223520014,1
2022-10-02,07:14:07,-44.63813401668064,-83.67186026059177,10340.68982035928,236.3717170989039,0.4055888223556394,1
2022-10-02,07:14:12,-44.64600844735224,-83.68391577583674,10341.095409181637,236.3777671405189,0.4055888223574584,1
2022-10-02,07:14:17,-44.65388206608136,-83.69597433014098,10341.500998003992,236.3838507615903,0.4055888223556394,1
2022-10-02,07:14:22,-44.66175487007608,-83.70803592406138,10341.906586826348,236.3899678902631,0.4055888223556394,1
2022-10-02,07:14:27,-44.66962685654451,-83.72010055815475,10342.312175648702,236.39611845468244,0.4055888223538204,1
2022-10-02,07:14:32,-44.67749802269472,-83.73216823297798,10342.717764471055,236.4023023829932,0.4055888223538204,1
2022-10-02,07:14:37,-44.685368365734824,-83.74423894908793,10343.123353293411,236.4085196033405,0.4055888223556394,1
2022-10-02,07:14:42,-44.693237882872936,-83.7563127070414,10343.528942115769,236.4147700438693,0.4055888223574584,1
2022-10-02,07:14:47,-44.70110657131712,-83.76838950739527,10343.934530938124,236.42105363272472,0.4055888223556394,1
2022-10-02,07:14:52,-44.70897442827549,-83.7804693507064,10344.340119760478,236.42737029805176,0.4055888223538204,1
2022-10-02,07:14:57,-44.71684145095614,-83.79255223753161,10344.745708582834,236.43371996799544,0.4055888223556394,1
2022-10-02,07:15:02,-44.72470763656717,-83.80463816842777,10345.15129740519,236.4401025707008,0.4055888223556394,1
2022-10-02,07:15:07,-44.73257298231666,-83.81672714395174,10345.556886227543,236.44651803431287,0.4055888223538204,1
2022-10-02,07:15:12,-44.74043748541274,-83.82881916466035,10345.9624750499,236.4529662869767,0.4055888223574584,1
2022-10-02,07:15:17,-44.74830114306347,-83.84091423111047,10346.368063872254,236.45944725683736,0.4055888223538204,1
2022-10-02,07:15:22,-44.756163952476975,-83.85301234385892,10346.77365269461,236.46596087203977,0.4055888223556394,1
2022-10-02,07:15:27,-44.764025910861335,-83.86511350346258,10347.179241516966,236.47250706072904,0.4055888223556394,1
2022-10-02,07:15:32,-44.77188701542465,-83.8772177104783,10347.58483033932,236.47908575105015,0.4055888223538204,1
2022-10-02,07:15:37,-44.779747263375015,-83.88932496546292,10347.990419161675,236.48569687114824,0.4055888223556394,1
2022-10-02,07:15:42,-44.78760665192054,-83.90143526897329,10348.396007984033,236.4923403491682,0.4055888223574584,1
2022-10-02,07:15:47,-44.795465178269296,-83.91354862156626,10348.801596806386,236.4990161132552,0.4055888223538204,1
2022-10-02,07:15:52,-44.80332283962941,-83.92566502379867,10349.207185628742,236.50572409155416,0.4055888223556394,1
2022-10-02,07:15:57,-44.81117963320896,-83.9377844762274,10349.612774451098,236.51246421221015,0.4055888223556394,1
2022-10-02,07:16:02,-44.81903555621603,-83.94990697940929,10350.018363273452,236.51923640336827,0.4055888223538204,1
2022-10-02,07:16:07,-44.82689060585875,-83.96203253390118,10350.423952095807,236.52604059317343,0.4055888223556394,1
2022-10-02,07:16:12,-44.83474477934519,-83.97416114025994,10350.829540918165,236.5328767097708,0.4055888223574584,1
2022-10-02,07:16:17,-44.842598073883465,-83.98629279904239,10351.235129740518,236.53974468130528,0.4055888223538204,1
2022-10-02,07:16:22,-44.85045048668166,-83.99842751080537,10351.640718562874,236.546644435922,0.4055888223556394,1
2022-10-02,07:16:27,-44.85830201494787,-84.0105652761058,10352.04630738523,236.55357590176595,0.4055888223556394,1
2022-10-02,07:16:32,-44.8661526558902,-84.02270609550047,10352.451896207584,236.5605390069821,0.4055888223538204,1
2022-10-02,07:16:37,-44.874002406716734,-84.03484996954626,10352.85748502994,236.56753367971564,0.4055888223556394,1
2022-10-02,07:16:42,-44.88185126463558,-84.0469968988,10353.263073852297,236.5745598481115,0.4055888223574584,1
2022-10-02,07:16:47,-44.88969922685483,-84.05914688381854,10353.66866267465,236.58161744031472,0.4055888223538204,1
2022-10-02,07:16:52,-44.89754629058259,-84.07129992515874,10354.074251497006,236.58870638447033,0.4055888223556394,1
2022-10-02,07:16:57,-44.905392453026934,-84.08345602337747,10354.479840319362,236.59582660872337,0.4055888223556394,1
2022-10-02,07:17:02,-44.913237711395986,-84.09561517903155,10354.885429141716,236.60297804121885,0.4055888223538204,1
2022-10-02,07:17:07,-44.921082062897824,-84.10777739267785,10355.291017964071,236.61016061010187,0.4055888223556394,1
2022-10-02,07:17:12,-44.928925504740555,-84.11994266487321,10355.696606786429,236.61737424351736,0.4055888223574584,1
2022-10-02,07:17:17,-44.936768034132264,-84.13211099617446,10356.102195608782,236.6246188696105,0.4055888223538204,1
2022-10-02,07:17:22,-44.944609648281066,-84.14428238713849,10356.507784431138,236.63189441652617,0.4055888223556394,1
2022-10-02,07:17:27,-44.95245034439503,-84.15645683832214,10356.913373253492,236.63920081240948,0.4055888223538204,1
2022-10-02,07:17:32,-44.96029011968229,-84.16863435028225,10357.318962075848,236.64653798540544,0.4055888223556394,1
2022-10-02,07:17:37,-44.9681289713509,-84.18081492357567,10357.724550898203,236.6539058636591,0.4055888223556394,1
2022-10-02,07:17:42,-44.97596689660899,-84.19299855875926,10358.13013972056,236.6613043753155,0.4055888223574584,1
2022-10-02,07:17:47,-44.983803892664646,-84.20518525638987,10358.535728542916,236.66873344851965,0.4055888223556394,1
2022-10-02,07:17:52,-44.99163995672596,-84.21737501702432,10358.941317365268,236.6761930114166,0.4055888223520014,1
2022-10-02,07:17:57,-44.999475086001034,-84.2295678412195,10359.346906187624,236.68368299215132,0.4055888223556394,1
2022-10-02,07:18:02,-45.00730927769795,-84.24176372953227,10359.75249500998,236.69120331886893,0.4055888223556394,1
