Latitude,Longitude,Altitude (m)
-40.654247,147.74112,9537.199
-40.84762,147.65636,9500.196
-40.810707,147.70271,9515.216
-40.802723,147.70117,9527.829
-40.80471,147.69179,9534.106
-40.69935,147.64417,9544.079
-40.972923,147.56459,9475.55
-40.880913,147.68864,9543.202
-41.00733,147.66539,9515.847
-40.92116,147.5385,9522.19
-40.99088,147.51816,9510.81
-41.00824,147.59583,9525.528
-41.01998,147.56873,9519.883
-41.056446,147.51404,9510.061
-41.07888,147.53142,9519.741
-41.047836,147.52338,9528.841
-40.96157,147.44397,9535.925
-41.18163,147.48593,9496.718
-41.213,147.53731,9510.134
-41.126022,147.44028,9521.37
-41.195175,147.40923,9505.583
-41.200108,147.41937,9513.754
-41.22018,147.41408,9508.86
-41.317554,147.43604,9492.46
-41.23014,147.34352,9501.064
-41.137173,147.4107,9532.958
-41.356533,147.38994,9496.945
-41.356953,147.2811,9490.57
-41.35893,147.38834,9510.258
-41.272984,147.32144,9531.065
-41.395016,147.32486,9505.471
-41.49721,147.27534,9484.216
-41.381462,147.28004,9516.005
-41.447224,147.24995,9492.987
-41.55431,147.24619,9479.134
-41.481262,147.2499,9501.548
-41.449856,147.18134,9493.503
-41.563457,147.16559,9485.945
-41.591846,147.18887,9505.805
-41.397957,147.17734,9545.929
-41.734943,147.29672,9490.531
-41.5812,147.01248,9498.177
-41.66069,147.07649,9492.832
-41.697113,147.15305,9489.409
-41.69333,147.09346,9485.796
-41.727684,147.07242,9484.56
-41.696445,147.07906,9499.461
-41.635323,147.08827,9514.292
-41.81775,147.04353,9485.785
-41.81666,146.98364,9472.805
-41.798218,147.01657,9503.233
-41.78082,147.01225,9505.378
-41.81493,147.00447,9507.076
-41.83199,146.97234,9503.921
-41.90608,146.93193,9478.776
-41.93712,146.94093,9475.379
-41.93486,146.8503,9482.783
-41.89167,146.91983,9501.175
-41.827377,146.96358,9531.953
-42.11891,146.7982,9448.476
-41.993908,146.88585,9485.524
-42.050835,146.82495,9478.491
-42.08557,146.77951,9475.263
-42.078995,146.76549,9477.171
-42.108868,146.71335,9466.4795
-42.090492,146.66695,9466.4
-42.10676,146.6383,9464.088
-42.17461,146.71455,9468.438
-42.195255,146.72523,9470.922
-42.168926,146.65913,9469.182
-42.132687,146.63701,9479.956
-42.253464,146.7824,9478.301
-42.33707,146.68065,9448.52
-42.272972,146.54459,9448.522
-42.291264,146.72084,9479.409
-42.30606,146.59355,9464.484
-42.348442,146.55676,9452.23
-42.360897,146.61098,9465.119
-42.336388,146.55281,9472.277
-42.304466,146.58589,9487.553
-42.464474,146.48523,9441.88
-42.4792,146.45892,9440.698
-42.429016,146.47322,9456.082
-42.452255,146.39374,9451.558
-42.48278,146.5264,9476.258
-42.53229,146.67776,9489.613
-42.58181,146.3171,9439.264
-42.513126,146.39664,9471.688
-42.502144,146.49776,9492.807
-42.699287,146.36324,9439.211
-42.64356,146.35922,9449.472
-42.656494,146.44078,9460.093
-42.712517,146.19142,9423.458
-42.709766,146.49052,9467.9375
-42.707497,146.26352,9448.267
-42.701237,146.19432,9448.229
-42.735027,146.23007,9452.031
-42.826744,146.37738,9454.442
-42.71071,145.87323,9425.132
-42.902843,146.31491,9444.118
-42.84862,146.29057,9461.096
-42.893764,146.26958,9445.897
-42.926155,146.2173,9445.661
-42.91669,146.1785,9452.325
-42.94211,146.16023,9450.227
-42.968506,146.20322,9449.216
-42.973793,146.10732,9440.364
-42.99025,146.08832,9448.936
-43.06008,146.06833,9437.02
-43.020744,146.06837,9446.212
-43.08258,146.03738,9437.97
-43.07737,146.06279,9443.631
-43.100845,146.007,9446.749
-43.13686,146.0031,9441.989
-43.127842,146.01144,9451.564
-43.14142,145.98875,9453.013
-43.169907,145.98726,9451.53
-43.10173,145.97775,9451.79
-43.1935,145.91438,9432.821
-43.321865,145.92679,9421.537
-43.211674,145.90442,9443.468
-43.297672,145.89754,9427.042
-43.31723,145.87949,9412.998
-43.283577,145.87224,9433.5205
-43.280926,145.85991,9437.306
-43.38704,145.81389,9404.298
-43.438805,145.76314,9395.179
-43.369312,145.85074,9422.187
-43.295986,145.8005,9439.894
-43.5086,145.65433,9391.543
-43.45268,145.80638,9435.758
-43.48452,145.69548,9414.859
-43.512714,145.63548,9399.853
-43.494236,145.71516,9420.811
-43.54051,145.70227,9409.798
-43.592552,145.56758,9388.299
-43.54162,145.6524,9406.342
-43.51718,145.49261,9394.446
-43.609737,145.63419,9395.944
-43.63523,145.73586,9400.848
-43.624702,145.57362,9389.027
-43.66479,145.67383,9399.456
-43.625175,145.64725,9414.469
-43.633877,145.6916,9423.118
-43.807293,145.52362,9366.341
-43.74581,145.52501,9378.384
-43.77141,145.58273,9376.749
-43.8232,145.36128,9347.3955
-43.74838,145.47449,9380.42
-43.8224,145.57652,9382.763
-43.894653,145.63425,9380.127
-43.91976,145.24326,9341.743
-43.82662,145.46497,9392.618
-43.888203,145.48174,9390.684
-43.983734,145.40604,9359.151
-43.96606,145.38107,9368.174
-43.966248,145.2085,9365.452
-43.92174,145.39516,9396.255
-44.082222,145.31859,9357.397
-44.05318,145.41415,9380.171
-44.036114,145.22916,9359.216
-44.133106,145.39877,9369.55
-44.047703,145.15596,9359.897
-44.17699,145.43611,9367.945
-44.142662,145.1959,9352.379
-44.12189,145.30142,9362.777
-44.091393,145.13992,9351.019
-44.331882,145.42249,9361.1455
-44.167576,145.15936,9385.098
-44.275944,145.03622,9352.271
-44.280556,145.22609,9371.606
-44.301525,145.15517,9351.411
-44.36822,145.263,9363.974
-44.353683,145.04073,9339.642
-44.35924,145.01099,9324.978
-44.40286,145.21765,9352.564
-44.421722,145.08315,9349.602
-44.436935,145.04996,9352.604
-44.442074,145.08089,9352.944
-44.498047,145.03644,9345.152
-44.426456,145.01837,9349.256
-44.577812,145.05168,9332.598
-44.56581,145.01286,9349.3545
-44.50461,144.92451,9353.593
-44.633377,144.99303,9330.2295
-44.565407,144.93068,9342.836
-44.632576,144.95107,9340.095
-44.63929,144.90825,9345.661
-44.589165,144.9382,9366.108
-44.68674,144.8521,9340.428
-44.7293,144.8825,9330.584
-44.695827,144.89136,9347.217
-44.712135,145.00322,9351.66
-44.82814,144.90285,9316.062
-44.810104,144.71214,9313.775
-44.76851,144.75044,9331.065
-44.845592,144.6604,9314.237
-44.86304,144.62851,9316.786
-44.830505,144.8452,9338.303
-44.91859,144.80518,9315.587
-44.949078,144.81917,9306.572
-44.97287,144.50406,9290.484
-44.914948,144.58424,9313.191
-44.952217,144.83876,9310.897
-45.061985,144.60469,9274.465
-45.009354,144.6694,9303.716
-45.06639,144.53773,9291.401
-45.04855,144.66,9296.484
-45.090336,144.53487,9281.966
-45.076767,144.60767,9298.739
-45.10967,144.39053,9286.58
-45.095173,144.53946,9307.401
-45.11557,144.58286,9302.106
-45.22882,144.48209,9271.315
-45.199455,144.61589,9290.531
-45.25032,144.26212,9277.59
-45.216583,144.47029,9305.929
-45.209286,144.57074,9312.772
-45.332275,144.42197,9275.908
-45.33534,144.4978,9282.607
-45.337204,144.54675,9272.933
-45.396008,144.26358,9247.392
-45.3333,144.2615,9257.001
-45.295628,144.41927,9284.391
-45.451298,144.35387,9263.461
-45.42985,144.36288,9271.674
-45.405087,144.70715,9293.202
-45.538486,144.19034,9229.064
-45.48209,144.3645,9283.022
-45.538357,144.20366,9247.546
