Latitude,Longitude,Altitude (m)
-42.10642,146.27917,9398.45
-42.08955,146.48586,9414.268
-42.146904,146.26219,9395.333
-42.187027,146.1301,9383.822
-42.18829,146.22893,9396.818
-42.20819,146.21512,9389.657
-42.22747,146.203,9400.017
-42.249996,146.19392,9392.621
-42.301533,145.99391,9382.045
-42.291256,146.1541,9396.303
-42.348396,145.94048,9377.594
-42.362034,145.97107,9378.254
-42.351624,146.12599,9393.356
-42.37331,146.096,9385.055
-42.38968,146.0932,9394.22
-42.419594,146.04768,9387.359
-42.445957,145.98853,9383.622
-42.442024,146.11586,9395.528
-42.477303,146.0217,9387.864
-42.47273,146.14795,9399.811
-42.517414,146.00618,9386.233
-42.48039,146.31589,9410.862
-42.55834,145.98102,9383.41
-42.574863,145.9881,9384.499
-42.566257,146.14322,9392.117
-42.62075,145.91629,9375.596
-42.597412,146.17505,9397.041
-42.661816,145.90619,9372.647
-42.681778,145.88832,9370.574
-42.703926,145.86407,9366.682
-42.716034,145.88777,9373.539
-42.735943,145.8909,9370.874
-42.765312,145.8195,9362.332
-42.8014,145.71382,9356.86
-42.825504,145.68892,9355.898
-42.800777,145.809,9370.877
-42.846405,145.78682,9368.229
-42.866547,145.78264,9370.116
-42.888214,145.76663,9364.294
-42.908527,145.74033,9363.927
-42.92914,145.72292,9367.472
-42.950497,145.70264,9365.434
-42.970913,145.68399,9367.316
-42.99258,145.66603,9365.431
-43.013306,145.64423,9365.197
-43.034264,145.62823,9365.293
-43.05565,145.60866,9362.357
-43.076477,145.59218,9361.567
-43.097107,145.58112,9360.632
-43.11809,145.56958,9361.039
-43.13876,145.55544,9360.338
-43.160004,145.53079,9357.356
-43.179817,145.51915,9357.284
-43.20269,145.48845,9353.327
-43.24144,145.36948,9348.032
-43.24428,145.45166,9355.184
-43.264507,145.4421,9355.949
-43.285355,145.43152,9353.768
-43.28033,145.55331,9366.437
-43.326794,145.40344,9357.452
-43.346783,145.39473,9360.019
-43.36823,145.37402,9354.789
-43.372246,145.46436,9361.112
-43.409107,145.35738,9356.687
-43.42758,145.35063,9355.358
-43.45181,145.31459,9352.631
-43.462185,145.35878,9358.2295
-43.49311,145.28741,9349.378
-43.510643,145.28185,9355.574
-43.569996,145.0533,9336.035
-43.55675,145.22426,9352.612
-43.580048,145.19972,9351.302
-43.599487,145.18808,9349.367
-43.61785,145.183,9343.525
-43.64879,145.12659,9341.992
-43.659225,145.18863,9346.734
-43.678837,145.1739,9343.379
-43.68984,145.21327,9345.285
-43.720295,145.14027,9330.732
-43.73179,145.17485,9337.981
-43.762398,145.10954,9328.414
-43.784904,145.06537,9320.834
-43.777107,145.22021,9335.257
-43.824844,145.07597,9320.321
-43.85858,144.99298,9314.581
-43.86668,145.03882,9319.522
-43.88653,145.02362,9325.724
-43.881367,145.15518,9334.359
-43.929054,145.0028,9321.41
-43.95035,145.00174,9320.704
-43.972763,144.9819,9315.929
-44.029896,144.76216,9296.88
-44.017895,144.94092,9309.958
-44.049843,144.88168,9301.495
-44.058544,144.94247,9303.976
-44.09726,144.8398,9291.947
-44.10108,144.92458,9294.886
-44.050148,145.31195,9323.362
-44.143414,144.88739,9291.93
-44.136353,145.045,9303.307
-44.186054,144.85948,9285.373
-44.19972,144.89943,9286.763
-44.22937,144.84167,9277.134
-44.2508,144.83661,9273.385
-44.275215,144.81107,9270.188
-44.294525,144.80447,9267.834
-44.324368,144.72896,9263.496
-44.35443,144.66931,9256.376
-44.356644,144.76062,9267.414
-44.38483,144.71251,9266.452
-44.397976,144.7335,9266.911
-44.42209,144.69986,9266.528
-44.44336,144.6976,9266.546
-44.455856,144.73729,9272.53
-44.48723,144.65521,9265.259
-44.509003,144.64389,9266.327
-44.529686,144.64146,9263.419
-44.55215,144.62766,9261.726
-44.517105,144.9384,9286.177
-44.593494,144.60536,9257.976
-44.612465,144.60297,9255.514
-44.6367,144.57439,9248.645
-44.65656,144.5823,9252.382
-44.67823,144.57402,9251.623
-44.70876,144.49718,9250.166
-44.686035,144.73277,9273.229
-44.743275,144.50029,9256.219
-44.712048,144.78421,9275.947
-44.776222,144.48546,9251.865
-44.80617,144.46504,9246.683
-44.827454,144.45605,9243.352
-44.84929,144.44798,9242.427
-44.870827,144.43347,9244.77
-44.892536,144.40765,9241.832
-44.91338,144.38855,9240.537
-44.93458,144.3838,9244.247
-44.956703,144.36737,9242.939
-44.978218,144.34163,9243.377
-44.99927,144.32669,9243.092
-45.020973,144.31248,9240.181
-45.042267,144.29799,9235.85
-45.0634,144.28972,9238.468
-45.085236,144.27151,9236.354
-45.10598,144.25789,9238.346
-45.127502,144.24059,9239.63
-45.148388,144.22171,9237.253
-45.168293,144.21799,9234.752
-45.24556,143.92465,9212.313
-45.211445,144.19615,9231.127
