Latitude,Longitude,Altitude (m)
-44.01567,145.18903,9384.702
-44.004814,145.17271,9390.572
-43.9856,145.09285,9395.9375
-44.02238,145.31885,9405.938
-44.09847,145.16061,9379.272
-44.12703,145.062,9366.375
-44.113873,145.09808,9377.286
-44.082428,145.46387,9417.975
-44.16597,145.02629,9377.325
-44.18718,144.75848,9364.252
-44.17954,145.1085,9398.105
-44.256508,144.96483,9372.081
-44.262325,145.0086,9375.889
-44.223457,144.70956,9369.263
-44.272133,144.9466,9373.535
-44.32598,145.297,9386.997
-44.313663,144.83301,9368.728
-44.40179,144.97522,9360.673
-44.378666,144.88629,9366.673
-44.38005,145.00319,9382.625
-44.387928,145.19313,9401.102
-44.45579,145.02327,9379.282
-44.50613,144.63435,9345.561
-44.482067,144.8407,9369.601
-44.488274,144.81601,9368.787
-44.51597,144.66975,9359.549
-44.539726,144.76105,9364.932
-44.557266,144.84543,9372.336
-44.587513,144.91122,9377.546
-44.649456,145.00868,9371.432
-44.686535,144.82039,9350.868
-44.641098,144.53247,9351.522
-44.58916,144.34792,9359.978
-44.77914,144.95598,9349.3545
-44.678497,144.70839,9367.809
-44.78658,144.80113,9346.444
-44.774807,144.58049,9342.397
-44.811855,144.71156,9345.888
-44.807865,144.72675,9353.564
-44.8347,144.7996,9353.892
-44.873623,144.62259,9334.863
-44.894222,144.56113,9327.901
-44.907455,144.4743,9326.154
-44.91994,144.41661,9323.609
-44.912136,144.68651,9339.137
-44.928112,145.18779,9374.488
-45.04647,144.03595,9274.593
-44.997353,144.66414,9329.728
-45.037018,144.26123,9302.412
-45.051857,144.43327,9312.522
-45.047737,144.29497,9310.763
-45.041645,144.30241,9320.616
-45.08516,144.28712,9315.621
-45.142193,144.37018,9305.334
-45.145237,144.2932,9305.194
-45.127556,144.31662,9318.4795
-45.16874,144.1984,9314.192
-45.232468,144.22804,9302.377
-45.249146,144.18973,9304.439
-45.243317,144.17123,9309.673
-45.232845,144.3692,9322.402
-45.24672,145.0492,9351.332
-45.38056,143.83539,9244.024
-45.347054,144.18767,9293.049
-45.374798,144.27063,9276.241
-45.385265,144.06294,9274.696
-45.400513,144.17,9285.675
-45.416054,144.077,9272.651
-45.42733,144.0795,9282.617
-45.425564,144.01332,9284.765
-45.454556,144.07304,9285.8545
-45.502033,144.03725,9276.556
-45.516,144.10553,9281.275
-45.49835,144.03241,9284.754
-45.518597,144.04257,9290.124
-45.592007,143.9762,9262.692
-45.621323,143.94534,9268.222
-45.605587,143.87422,9275.539
-45.626984,143.72118,9268.991
-45.71595,143.75327,9259.64
-45.754574,143.66176,9238.201
-45.853706,143.29709,9180.302
-45.614464,144.04459,9254.578
-45.803883,143.93004,9239.824
-45.75509,143.79077,9258.562
-45.818985,143.89912,9243.816
-45.811794,143.82184,9252.015
-45.842384,143.82643,9249.766
-45.858,143.80664,9248.025
-45.870975,143.80606,9247.577
-45.88004,143.80965,9245.438
-45.889164,143.80092,9246.5625
-45.90346,143.82448,9250.243
-45.93423,143.83661,9248.7705
-45.9721,143.77783,9241.421
-45.99537,143.60596,9239.125
-45.99598,143.5062,9245.412
-46.02827,143.70145,9239.155
-46.05427,144.02411,9242.447
-46.04838,144.0724,9259.127
-46.143196,143.33116,9206.531
-46.147755,143.77615,9229.033
-46.13176,143.46436,9231.385
-46.173134,143.65979,9228.211
-46.18447,143.51495,9224.181
-46.214664,143.50014,9223.611
-46.20735,143.66335,9236.74
-46.197853,143.65094,9244.083
-46.2931,143.566,9215.454
-46.313118,143.54742,9213.792
-46.28684,143.79216,9235.704
-46.361492,143.65791,9218.874
-46.374363,143.3101,9202.408
-46.32928,143.0984,9216.147
-46.415592,143.54173,9212.411
-46.442387,143.4572,9209.691
-46.433113,143.4467,9217.44
-46.47424,143.59077,9216.818
-46.492424,143.46396,9214.121
-46.513763,143.37968,9204.944
-46.527603,143.53572,9207.304
-46.56365,143.52182,9200.446
-46.574974,143.57362,9192.989
-46.610775,143.33426,9182.624
-46.574413,143.00935,9184.013
-46.581226,142.9418,9188.363
-46.707684,143.45102,9177.587
-46.636078,143.30565,9202.5205
-46.697838,143.47011,9193.06
-46.73559,143.14536,9166.583
-46.76043,143.17235,9162.73
-46.7529,143.23363,9176.251
-46.729694,143.58865,9207.114
-46.821632,143.04831,9157.51
-46.84122,143.02875,9147.759
-46.840405,143.16945,9170.569
-46.876602,142.9706,9147.839
-46.877636,143.02797,9160.511
-46.890884,143.17282,9176.524
-46.916523,143.14127,9159.46
-46.951305,143.13705,9157.674
-46.948853,142.93875,9146.92
-46.918755,142.47879,9137.342
-47.117023,142.96083,9132.156
-46.969864,143.01022,9152.238
-47.079014,143.11824,9181.187
-47.060463,142.95898,9122.545
-47.106094,142.89725,9133.509
-47.129917,142.95433,9126.143
-47.089203,143.13045,9135.935
-47.136696,143.16782,9145.639
-47.203247,142.67628,9104.261
-47.211292,142.83882,9111.102
-47.198887,142.95709,9131.017
-47.229397,142.86958,9121.331
-47.2663,142.77493,9102.604
-47.268757,142.75467,9113.632
-47.27135,142.80167,9122.704
-47.302204,143.03671,9119.644
-47.356003,143.4577,9122.617
-47.35762,142.38019,9087.559
-47.42163,142.78067,9099.357
-47.356728,142.74045,9102.275
-47.444107,142.64778,9106.717
-47.442204,142.6731,9099.206
-47.441753,142.72662,9110.491
-47.451553,142.77028,9117.604
-47.510742,142.7078,9088.4
-47.536236,142.51515,9075.12
-47.522682,142.59256,9087.331
-47.545506,142.83258,9109.051
-47.61956,142.75244,9081.085
-47.603024,142.27032,9057.606
-47.598316,142.6009,9077.978
-47.677376,142.5301,9069.181
-47.665413,142.52776,9068.773
-47.67632,142.49622,9071.23
-47.704212,142.56693,9075.203
-47.722282,142.80972,9082.799
-47.78868,142.6712,9065.87
-47.77188,142.15865,9037.781
-47.76757,142.43329,9063.412
-47.82458,142.45715,9054.133
-47.839783,142.28755,9045.49
-47.845455,142.3839,9067.754
-47.855152,142.35887,9055.934
-47.898457,142.51306,9060.628
-47.924633,142.65936,9059.241
-47.988358,142.66156,9075.716
-47.96117,141.99773,9043.173
-47.98837,142.28345,9044.992
-47.9895,142.32611,9044.507
-48.001045,142.2274,9046.359
-48.03851,142.28725,9039.266
-48.05586,142.30362,9028.48
-48.090363,142.21523,9030.552
-48.098625,142.11995,9038.16
-48.103546,142.3783,9043.555
-48.175777,142.63463,9013.945
-48.182564,142.02602,9017.773
-48.211617,142.01517,9008.892
-48.221737,142.2476,9012.009
-48.235046,142.2138,9024.892
-48.275253,142.07289,9001.631
-48.27884,141.98524,8993.1455
-48.285427,142.13278,8999.933
-48.33454,142.21294,8999.058
-48.36757,142.58809,9016.8955
-48.37333,141.96861,8981.739
-48.396465,141.96777,8977.264
-48.3917,141.97694,8985.433
-48.43449,141.92937,8981.73
-48.44571,141.98914,8983.108
-48.44051,141.93033,8992.987
-48.454987,142.04962,8997.0
-48.50576,141.97737,8983.361
-48.547012,141.80013,8972.959
-48.55067,141.77385,8975.569
-48.57508,141.80925,8977.392
-48.58737,141.99698,8990.383
-48.593533,142.3884,8993.035
-48.68228,141.55772,8945.065
-48.632263,141.84706,8961.085
-48.715794,141.7475,8963.125
-48.695465,141.75629,8956.7295
-48.716618,141.74573,8959.538
-48.745007,141.71344,8953.979
-48.753197,141.79414,8955.926
-48.79762,141.9014,8965.965
-48.847874,142.00755,8949.108
-48.813087,141.81396,8932.788
-48.76348,141.52037,8933.217
-48.910465,141.62085,8928.892
-48.886444,141.62392,8921.058
-48.912872,141.61418,8935.191
-48.907974,141.82095,8954.09
-48.902344,142.32672,8949.273
-49.000664,141.20364,8898.073
-49.022045,141.6708,8932.052
-48.985756,141.5875,8904.761
-49.052364,141.54184,8925.891
-49.037106,141.48917,8932.063
-49.07177,141.49704,8915.532
-49.09594,141.4821,8925.52
-49.0991,141.46101,8927.624
-49.13666,141.42418,8913.301
-49.153843,141.42676,8912.59
-49.165955,141.42697,8914.437
-49.20087,141.58682,8922.71
