#ATom navigation files,,,,,,,,,,
#  ATom1: 2016-07-29 to 2016-08-23,,,,,,,,,,
#  ATom2: 2017-01-26 to 2017-02-21,,,,,,,,,,
#  ATom3: 2017-09-28 to 2017-10-27,,,,,,,,,,
#  ATom4: 2018-04-24 to 2018-05-21,,,,,,,,,,
#  Col 1: Index A#[sequence number], where #= 1,2,3,4,,,,,,
#  Col 2: Research Flight number,,,,,,,,,,
#  Col 3: Date as YYYYMMDD, starting date UTC,,,,,,,,,
#  Col 4: Start time of interval UTC seconds from midnight on YYYYMMDD (may exceed 86400, does not roll after midinght),,,,,,,,,
#  Col 5: End time of interval (10s nominal) UTC seconds from midnight on YYYYMMDD,,,,,,,,,,
#  Col 5,6, 7:  Latitude, Longitude, Altitude (deg, deg, m above masl). GPS data from MMS.,,,,
#  Col 8, 9: Pressure, Temperature (hPa, deg K)   Static pressure and temperature from MMS.,,,,,,,
#  Col 10:  Cumulative ground track distance (km, for each ATom deployment),,,,,,,,,
#index,RF,YYYYMMDD,UTC_Start,UTC_Stop,Latitude,Longitude,Altitude (m masl GPS),P (hPa),T(K),CumDist (km)
A3_00160,-2,20170914,70210,70220,32.173872,-118.509986,9618.42,300.594,237.839,330.8997
A3_00161,-2,20170914,70220,70230,32.152545,-118.50988,9620.08,300.569,237.84,333.2611
A3_00162,-2,20170914,70230,70240,32.131214,-118.509795,9620.29,300.562,237.81,335.6246
A3_00163,-2,20170914,70240,70250,32.109866,-118.509701,9620.19,300.591,237.822,337.9893
A3_00164,-2,20170914,70250,70260,32.088512,-118.509595,9620.62,300.599,237.831,340.3551
A3_00165,-2,20170914,70260,70270,32.067151,-118.509515,9622.02,300.57,237.788,342.7208
A3_00166,-2,20170914,70270,70280,32.045782,-118.50945,9622.14,300.597,237.847,345.0887
A3_00167,-2,20170914,70280,70290,32.024408,-118.509383,9622.97,300.586,237.826,347.4555
A3_00168,-2,20170914,70290,70300,32.003024,-118.509321,9622.97,300.609,237.887,349.8246
A3_00169,-2,20170914,70300,70310,31.981638,-118.509259,9622.91,300.659,237.909,352.1936
A3_00170,-2,20170914,70310,70320,31.96025,-118.509174,9623.57,300.655,237.912,354.5615
A3_00171,-2,20170914,70320,70330,31.938863,-118.509072,9624.85,300.635,237.895,356.9305
A3_00172,-2,20170914,70330,70340,31.917477,-118.508973,9625.98,300.606,237.911,359.2995
A3_00173,-2,20170914,70340,70350,31.896094,-118.508898,9626.76,300.592,237.896,361.6674
A3_00174,-2,20170914,70350,70360,31.8747,-118.508809,9625.65,300.684,237.915,364.0375
A3_00175,-2,20170914,70360,70370,31.8533,-118.508663,9625.46,300.682,237.879,366.4076
A3_00176,-2,20170914,70370,70380,31.831903,-118.508529,9626.71,300.614,237.894,368.7765
A3_00177,-2,20170914,70380,70390,31.81051,-118.508441,9627.02,300.692,238.005,371.1466
A3_00178,-2,20170914,70390,70400,31.789112,-118.508308,9626.56,300.703,238.045,373.5156
A3_00179,-2,20170914,70400,70410,31.767726,-118.508165,9628.55,300.66,238.029,375.8834
A3_00180,-2,20170914,70410,70420,31.74635,-118.508068,9628.36,300.674,238.038,378.2512
A3_00181,-2,20170914,70420,70430,31.724976,-118.507998,9625.92,300.794,238.098,380.6179
A3_00182,-2,20170914,70430,70440,31.703603,-118.507907,9625.06,300.846,238.087,382.9846
A3_00183,-2,20170914,70440,70450,31.682241,-118.507803,9626.5,300.8,238.073,385.3502
A3_00184,-2,20170914,70450,70460,31.660893,-118.507708,9626.83,300.769,238.038,387.7135
A3_00185,-2,20170914,70460,70470,31.639547,-118.507633,9625.8,300.836,238.087,390.078
A3_00186,-2,20170914,70470,70480,31.6182,-118.507534,9624.92,300.857,238.152,392.4424
A3_00187,-2,20170914,70480,70490,31.596853,-118.507408,9625.21,300.855,238.176,394.8058
A3_00188,-2,20170914,70490,70500,31.575518,-118.507305,9626.26,300.836,238.167,397.168
A3_00189,-2,20170914,70500,70510,31.554193,-118.507219,9627.35,300.79,238.096,399.5291
A3_00190,-2,20170914,70510,70520,31.532866,-118.507133,9627.04,300.855,238.108,401.8912
A3_00191,-2,20170914,70520,70530,31.511548,-118.507026,9627.71,300.809,238.112,404.2512
A3_00192,-2,20170914,70530,70540,31.490236,-118.506937,9629.02,300.767,238.123,406.6111
A3_00193,-2,20170914,70540,70550,31.468922,-118.506871,9627.7,300.832,238.139,408.9722
A3_00194,-2,20170914,70550,70560,31.447598,-118.506805,9625.08,300.916,238.173,411.3343
A3_00195,-2,20170914,70560,70570,31.426265,-118.506714,9625.09,300.915,238.187,413.6976
A3_00196,-2,20170914,70570,70580,31.40493,-118.506602,9626.11,300.898,238.22,416.0597
A3_00197,-2,20170914,70580,70590,31.383598,-118.50649,9628.31,300.795,238.173,418.4219
A3_00198,-2,20170914,70590,70600,31.362267,-118.506393,9629.74,300.746,238.163,420.784
A3_00199,-2,20170914,70600,70610,31.340929,-118.50632,9628.36,300.833,238.206,423.1472
A3_00200,-2,20170914,70610,70620,31.319589,-118.50622,9628.34,300.831,238.188,425.5115
A3_00201,-2,20170914,70620,70630,31.298249,-118.506093,9629.99,300.779,238.177,427.8736
A3_00202,-2,20170914,70630,70640,31.276909,-118.505966,9630.93,300.772,238.22,430.2368
A3_00203,-2,20170914,70640,70650,31.255576,-118.505834,9632.25,300.743,238.246,432.5989
A3_00204,-2,20170914,70650,70660,31.234251,-118.505725,9634.09,300.7,238.252,434.9598
A3_00205,-2,20170914,70660,70670,31.212926,-118.505652,9634.51,300.709,238.242,437.3218
A3_00206,-2,20170914,70670,70680,31.191591,-118.50559,9632.19,300.822,238.276,439.685
A3_00207,-2,20170914,70680,70690,31.170251,-118.505521,9632.69,300.835,238.291,442.0481
A3_00208,-2,20170914,70690,70700,31.148913,-118.505426,9634.36,300.799,238.301,444.4113
A3_00209,-2,20170914,70700,70710,31.127578,-118.505313,9635.72,300.758,238.267,446.7733
A3_00210,-2,20170914,70710,70720,31.106243,-118.505205,9636.2,300.75,238.325,449.1364
A3_00211,-2,20170914,70720,70730,31.08491,-118.505107,9636.46,300.741,238.374,451.4984
A3_00212,-2,20170914,70730,70740,31.063578,-118.505029,9636.33,300.758,238.416,453.8603
A3_00213,-2,20170914,70740,70750,31.042247,-118.504963,9635.61,300.806,238.544,456.2223
A3_00214,-2,20170914,70750,70760,31.020914,-118.504889,9636.97,300.79,238.589,458.5843
A3_00215,-2,20170914,70760,70770,30.999584,-118.504797,9637.86,300.78,238.578,460.9462
A3_00216,-2,20170914,70770,70780,30.978268,-118.504705,9627.24,301.476,238.703,463.3048
A3_00217,-2,20170914,70780,70790,30.956967,-118.504652,9550.03,304.984,239.429,465.6657
A3_00218,-2,20170914,70790,70800,30.935647,-118.504581,9454.35,309.099,240.285,468.0254
A3_00219,-2,20170914,70800,70810,30.914354,-118.504343,9354.1,313.54,241.149,470.3808
A3_00220,-2,20170914,70810,70820,30.893137,-118.504051,9252.35,318.049,241.696,472.724
A3_00221,-2,20170914,70820,70830,30.872085,-118.503827,9152.11,322.464,242.563,475.0461
A3_00222,-2,20170914,70830,70840,30.851197,-118.503729,9049.11,326.965,243.497,477.3526
A3_00223,-2,20170914,70840,70850,30.830403,-118.50379,8939,331.958,244.437,479.6525
A3_00224,-2,20170914,70850,70860,30.809651,-118.503883,8830.16,337.007,245.296,481.9491
A3_00225,-2,20170914,70860,70870,30.788943,-118.50388,8723.59,342.041,245.927,484.2389
A3_00226,-2,20170914,70870,70880,30.768295,-118.503798,8617.49,347.088,246.851,486.5222
